US News 2015--2022,2015,2016,2017,2018,2019,2020,2021,2022,Avg Rank,Chg 2015,,Source: https://publicuniversityhonors.com/2016/09/18/average-u-s-news-rankings-for-126-universities-2010-1017/
,,,,,,,,,,to 2022,,
Princeton,1,1,1,1,1,1,1,1,1,0,,
Harvard,2,2,2,2,2,2,2,2,2,0,,
Columbia,4,4,5,5,3,3,3,2,3.625,2,,
MIT,7,7,7,5,3,3,4,2,4.75,5,,
Yale,3,3,3,3,3,3,4,5,3.375,-2,,
Chicago,4,4,3,3,3,6,6,6,4.375,-2,,
Stanford,4,4,5,5,7,6,6,6,5.375,-2,,
Penn,8,9,8,8,8,6,8,8,7.875,0,,
Caltech,10,10,12,10,12,12,9,9,10.5,1,,
Johns Hopkins,12,10,10,11,10,10,9,9,10.125,3,,
Northwestern,13,12,12,11,10,9,9,9,10.625,4,,
Duke,8,8,8,9,8,10,12,9,9,-1,,
Dartmouth,11,12,11,11,12,12,13,13,11.875,-2,,
Brown,16,14,14,14,14,14,14,14,14.25,2,,
Vanderbilt,16,15,15,14,14,17,14,14,14.875,2,,
Washington Univ,14,15,19,18,19,19,16,14,16.75,0,,
Rice,19,18,15,14,16,17,16,17,16.5,2,,
Cornell,15,15,15,14,16,17,18,17,15.875,-2,,
Notre Dame,16,18,15,18,18,15,19,19,17.25,-3,,
UCLA,23,23,24,21,19,20,20,20,21.25,3,,
Emory,21,21,20,21,22,21,21,20,20.875,1,,
UC Berkeley,20,20,20,21,22,22,22,21,21,-1,,
Georgetown,21,21,20,20,22,24,23,23,21.75,-2,,
Michigan,29,29,27,28,27,25,24,23,26.5,6,,
Carnegie Mellon,25,23,24,25,25,25,26,25,24.75,0,,
Virginia,23,26,24,25,25,28,26,25,25.25,-2,,
USC,25,23,23,21,22,22,24,27,23.375,-2,,
Wake Forest,27,27,27,27,27,27,28,28,27.25,-1,,
North Carolina,30,30,30,30,30,29,28,28,29.375,2,,
Tufts,27,27,27,29,27,29,30,28,28,-1,,
NYU,32,32,36,30,30,29,30,28,30.875,4,,
UC Santa Barbara,40,37,37,37,30,34,30,28,34.125,12,,
Florida,48,47,50,42,35,34,30,28,39.25,20,,
Rochester,33,33,32,34,33,29,34,34,32.75,-1,,
UC San Diego,37,39,44,42,41,37,35,34,38.625,3,,
Boston College,31,30,31,32,38,37,35,36,33.75,-5,,
UC Irvine,42,39,39,42,33,36,35,36,37.75,6,,
Georgia Tech,36,36,34,34,35,29,35,38,34.625,-2,,
William & Mary,33,34,32,32,38,40,39,38,35.75,-5,,
UC Davis,38,41,44,46,38,39,39,38,40.375,0,,
UT Austin,53,52,56,56,49,48,42,38,49.25,15,,
Tulane,54,41,39,40,44,40,41,42,42.625,12,,
Brandeis,35,34,34,34,35,40,42,42,37,-7,,
