State,Mean score,SD,Percent taking SAT
United States ,1059,210,60
Alabama ,1143,206,7
Alaska ,1097,177,41
Arizona ,1134,187,31
Arkansas ,1141,208,6
California ,1065,214,63
Colorado ,1024,205,100
Connecticut ,1046,220,100
Delaware ,985,207,100
District of Columbia ,975,257,94
Florida ,999,199,100
Georgia ,1058,187,71
Hawaii ,1100,182,54
Idaho ,993,186,100
Illinois ,1013,208,100
Indiana ,1080,176,66
Iowa ,1244,202,3
Kansas ,1241,192,4
Kentucky ,1232,190,4
Louisiana ,1200,202,5
Maine ,1013,198,99
Maryland ,1058,220,82
Massachusetts ,1120,206,81
Michigan ,1003,201,100
Minnesota ,1284,180,4
Mississippi ,1237,202,3
Missouri ,1236,197,4
Montana ,1199,167,9
Nebraska ,1260,192,3
Nevada ,1156,175,20
New Hampshire ,1059,202,95
New Jersey ,1090,216,82
New Mexico ,1073,204,18
New York ,1064,211,79
North Carolina ,1100,189,51
North Dakota ,1263,188,2
Ohio ,1097,222,19
Oklahoma ,963,209,22
Oregon ,1112,186,51
Pennsylvania ,1082,195,70
Rhode Island ,995,210,100
South Carolina ,1030,187,68
South Dakota ,1268,188,3
Tennessee ,1220,196,7
Texas ,1022,200,68
Utah ,1230,194,4
Vermont ,1106,180,66
Virginia ,1119,192,68
Washington ,1074,205,70
West Virginia ,943,174,99
Wisconsin ,1283,188,3
Wyoming ,1238,186,3
