School,ID,secular_date,coed_date,secular_link,coed_link,Early Funding,Funding Link
Princeton University,186131,1920,1969,"https://princetoniana.princeton.edu/history/religion#:~:text=In%20the%201920s,the%20Baccalaureate%20Service.","https://princetoniana.princeton.edu/history/women#:~:text=might%20think%20of-,1969,-%2C%20the%20first%20year",,
Massachusetts Institute of Technology,166683,1961,1961,https://en.wikipedia.org/wiki/History_of_the_Massachusetts_Institute_of_Technology#Vision_and_mission,https://en.wikipedia.org/wiki/History_of_the_Massachusetts_Institute_of_Technology#:~:text=MIT%20has%20been%20always%20been%20notionally%20coeducational%2C%20admitting%20Ellen%20Swallow%20Richards%20as%20the%20first%20female%20student%20in%201870,,
Harvard University,166027,1890,1971,https://www.thepublicdiscourse.com/2018/03/20951/#:~:text=By%20the%20end%20of%20the%20nineteenth%20century%2C%20President%20Charles%20Eliot%20transformed%20the%20University%20into%20a%https://www.thepublicdiscourse.com/2018/03/20951/#:~:text=By%20the%20end%20of%20the%20nineteenth%20century%2C%20President%20Charles%20Eliot%20transformed%20the%20University%20into%20a%20secular%20one.,https://guides.library.harvard.edu/c.php?g=1108872&p=8085578#:~:text=In%201970%2C%20the%20first%20joint%20Harvard%20and%20Radcliffe%20commencement%20was%20held%20in%20Harvard%20Yard%2C%20and%20the%20following%20year%2C%20all%20Harvard%20and%20Radcliffe%20houses%20became%20coed,,
Stanford University,243744,1891,1891,https://en.wikipedia.org/wiki/Stanford_University#:~:text=The%20school%20admitted%20its%20first%20students%20on%20October%201%2C%201891%2C%5B2%5D%5B3%5D%20as%20a%20coeducational%20and%20non%2Ddenominational%20institution,https://en.wikipedia.org/wiki/Stanford_University#:~:text=The%20school%20admitted%20its%20first%20students%20on%20October%201%2C%201891%2C%5B2%5D%5B3%5D%20as%20a%20coeducational%20and%20non%2Ddenominational%20institution,,
Yale University,130794,1927,1969,https://church.yale.edu/history#:~:text=In%201927%2C%20compulsory%20worship%20was%20abolished%2C%20and%20chapel%20became%20voluntary,"https://celebratewomen.yale.edu/history/timeline-women-yale#:~:text=November%201968,22%20colleges%20arrive%20on%20campus.",,
University of Chicago,144050,1890,1890,"https://en.wikipedia.org/wiki/University_of_Chicago#:~:text=The%20University%20of%20Chicago%20was,donated%20by%20Marshall%20Field.",https://en.wikipedia.org/wiki/University_of_Chicago#:~:text=The%20University%20of%20Chicago%20was%20incorporated%20as%20a%20coeducational%5B37%5D%3A%E2%80%8A137%E2%80%8A%20institution%20in%201890,"$1,000,000.00","https://en.wikipedia.org/wiki/University_of_Chicago#:~:text=The%20University%20of%20Chicago%20was,donated%20by%20Marshall%20Field."
Johns Hopkins University,162928,1876,1970,https://en.wikipedia.org/wiki/Johns_Hopkins_University,https://web.archive.org/web/20071226134425/http://webapps.jhu.edu/jhuniverse/information_about_hopkins/about_jhu/facts_at_a_glance/index.cfm#:~:text=The%20university%20is%20named%20for%20its%20initial%20benefactor%2C%20Baltimore%20merchant%20Johns%20Hopkins%2C%20whose%20%247%20million%20bequest%20%E2%80%94%20the%20largest%20U.S.%20philanthropic%20gift%20to%20that%20time%20%E2%80%94%20was%20divided%20evenly%20to%20finance%20the%20establishment%20of%20both%20the%20university%20and%20The%20Johns%20Hopkins%20Hospital.,"$3,500,000.00",https://web.archive.org/web/20071226134425/http://webapps.jhu.edu/jhuniverse/information_about_hopkins/about_jhu/facts_at_a_glance/index.cfm#:~:text=The%20university%20is%20named%20for%20its%20initial%20benefactor%2C%20Baltimore%20merchant%20Johns%20Hopkins%2C%20whose%20%247%20million%20bequest%20%E2%80%94%20the%20largest%20U.S.%20philanthropic%20gift%20to%20that%20time%20%E2%80%94%20was%20divided%20evenly%20to%20finance%20the%20establishment%20of%20both%20the%20university%20and%20The%20Johns%20Hopkins%20Hospital.
University of Pennsylvania,215062,1802,1974,"https://en.wikipedia.org/wiki/University_of_Pennsylvania#:~:text=Unlike%20the%20other,the%20traditional%20curriculum. ",https://en.wikipedia.org/wiki/Johns_Hopkins_University,,
California Institute of Technology,110404,1891,1970,https://en.wikipedia.org/wiki/California_Institute_of_Technology#History,california institute of technology,,
Northwestern University,147767,NA,NA,NA,NA,,
